customer_id,age,income,recency,frequency,monetary,channel,treatment,conversion,revenue,true_ite
1,45,28162,11,2,101.5,sms,1,0,0.0,0.06
2,38,27665,3,6,204.56,sms,1,0,0.0,0.0773
3,47,12364,2,5,86.82,sms,1,1,44.75,0.0275
4,58,29790,2,7,166.55,sms,0,0,0.0,0.0291
5,37,56370,26,4,134.39,email,0,0,0.0,0.1295
6,37,16906,1,7,73.77,push,1,0,0.0,0.0613
7,58,68124,12,4,102.95,push,0,1,66.14,0.0953
8,49,48662,41,5,188.83,sms,0,0,0.0,0.0851
9,34,23375,10,5,368.6,email,0,1,33.67,0.0803
10,46,33358,43,5,134.63,email,0,0,0.0,0.0664
11,34,94749,41,6,159.3,email,0,0,0.0,0.2037
12,34,56394,8,5,119.32,sms,1,0,0.0,0.1374
13,42,36507,39,3,175.31,email,0,0,0.0,0.0822
14,18,31488,41,3,14.31,email,0,0,0.0,0.1359
15,19,38023,15,5,101.72,sms,0,0,0.0,0.1446
16,33,26713,7,4,86.35,push,0,1,99.78,0.0887
17,27,10271,22,5,83.15,email,0,0,0.0,0.0758
18,43,123661,76,2,105.42,sms,0,0,0.0,0.2303
19,29,39862,30,8,97.93,sms,0,0,0.0,0.1218
20,23,46114,5,4,98.75,push,0,0,0.0,0.1482
21,57,35075,34,1,0.48,sms,0,1,119.37,0.0408
22,37,23363,16,3,188.2,sms,0,0,0.0,0.0725
23,40,32482,26,6,156.07,sms,0,0,0.0,0.0805
24,22,13909,39,7,23.37,push,1,0,0.0,0.0951
25,33,142379,21,5,46.89,push,0,0,0.0,0.2886
26,41,17314,50,3,216.16,email,0,0,0.0,0.0517
27,26,19551,38,5,55.44,sms,1,0,0.0,0.0945
28,44,27885,28,4,112.71,sms,0,0,0.0,0.0621
29,32,78656,4,4,111.01,sms,0,0,0.0,0.181
30,36,36633,54,2,55.39,email,1,0,0.0,0.098
31,32,17297,82,3,32.34,email,0,0,0.0,0.075
32,62,77080,4,4,16.75,sms,1,0,0.0,0.1004
33,39,56308,20,6,108.33,email,0,0,0.0,0.1242
34,27,50164,8,8,121.67,email,1,0,0.0,0.1448
35,49,55795,42,5,34.75,push,0,0,0.0,0.0974
36,25,152759,38,2,126.62,email,1,1,17.64,0.3273
37,42,134733,4,3,83.85,sms,1,1,105.81,0.252
38,18,24051,62,6,110.57,push,0,0,0.0,0.123
39,24,96214,5,6,77.36,sms,0,0,0.0,0.2322
40,42,45702,47,9,86.53,email,0,1,67.35,0.0981
41,48,48994,18,5,95.31,email,0,0,0.0,0.0882
42,42,13156,11,3,130.26,sms,0,0,0.0,0.0419
43,38,32786,5,6,138.47,push,0,1,52.54,0.0862
44,36,22299,5,4,38.45,push,1,0,0.0,0.0733
45,22,59684,32,5,50.87,sms,1,0,0.0,0.1742
46,31,69054,23,4,32.42,email,0,0,0.0,0.167
47,34,10459,3,7,250.55,email,1,0,0.0,0.058
48,52,35838,3,9,35.23,sms,0,0,0.0,0.0551
49,44,71190,2,6,18.6,email,0,0,0.0,0.137
50,18,32467,40,5,42.29,push,0,0,0.0,0.1376
51,43,56243,37,2,274.15,email,1,0,0.0,0.1138
52,35,44832,1,7,42.92,email,0,0,0.0,0.1148
53,31,44578,24,2,47.62,email,0,0,0.0,0.1247
54,47,30859,2,5,137.51,email,0,1,20.46,0.0595
55,52,17501,70,5,165.45,sms,0,0,0.0,0.0234
56,51,18528,71,4,46.67,email,0,0,0.0,0.0278
57,29,55581,35,2,24.76,sms,1,0,0.0,0.149
58,36,36741,78,11,50.3,sms,0,0,0.0,0.0982
59,43,33419,50,5,114.78,email,0,0,0.0,0.0743
60,51,28160,52,8,87.95,email,1,0,0.0,0.0444
61,34,30238,25,10,155.14,push,0,1,69.29,0.0922
62,37,68060,10,10,121.02,email,1,1,17.84,0.1498
63,26,29698,7,5,131.85,sms,1,0,0.0,0.112
64,25,16242,11,2,139.83,email,1,1,22.83,0.0913
65,49,56737,29,7,121.41,sms,1,0,0.0,0.099
66,56,32114,5,7,96.52,sms,1,0,0.0,0.0383
67,39,37006,8,10,105.28,email,1,0,0.0,0.0909
68,52,95277,18,3,135.09,push,1,1,11.03,0.1579
69,44,35870,7,7,38.48,email,0,0,0.0,0.0759
70,32,43196,26,6,201.33,email,1,0,0.0,0.1198
71,44,17901,76,2,28.76,email,0,0,0.0,0.0449
72,58,31831,41,2,25.39,push,0,0,0.0,0.0326
73,39,52350,32,3,60.11,email,1,1,17.04,0.1174
74,58,14282,26,4,70.31,sms,0,0,0.0,0.0023
75,18,40966,20,2,85.61,sms,0,0,0.0,0.1523
76,49,38579,6,9,84.31,email,0,0,0.0,0.0676
77,41,37226,67,7,52.49,sms,0,0,0.0,0.0861
78,36,67663,8,8,47.64,sms,0,1,48.33,0.1517
79,41,44385,2,3,101.84,sms,0,1,66.11,0.0984
80,18,88154,41,7,155.48,email,0,0,0.0,0.2338
81,37,20007,5,3,44.83,push,0,0,0.0,0.0667
82,44,39401,13,10,12.0,email,1,0,0.0,0.082
83,57,38203,1,4,26.44,sms,0,0,0.0,0.0462
84,33,19119,4,7,50.35,push,1,0,0.0,0.0755
85,30,64458,5,2,20.28,email,0,0,0.0,0.1617
86,33,146503,1,2,126.67,email,0,0,0.0,0.2957
87,50,35946,32,5,51.03,email,1,0,0.0,0.0605
88,43,49168,54,10,134.38,sms,0,0,0.0,0.1015
89,33,38204,14,6,95.29,sms,1,0,0.0,0.1085
90,46,23667,62,4,135.66,push,0,0,0.0,0.0497
91,41,12179,7,1,141.51,email,1,1,6.74,0.0428
92,51,23778,11,8,243.83,push,0,0,0.0,0.0369
93,31,15753,4,5,3.08,email,1,0,0.0,0.0749
94,36,100958,29,3,128.0,push,0,1,24.21,0.2092
95,35,33891,16,4,101.58,email,0,0,0.0,0.0959
96,22,29508,28,3,168.77,email,0,0,0.0,0.1221
97,43,61913,43,3,29.75,email,0,1,60.94,0.1236
98,43,18526,23,4,54.75,email,0,0,0.0,0.0486
99,40,22922,29,4,99.97,email,1,1,40.35,0.0639
100,37,37829,82,5,82.24,email,1,0,0.0,0.0975
101,23,67323,10,3,30.08,email,1,0,0.0,0.1848
102,34,49070,13,6,42.44,sms,1,1,20.82,0.1247
103,35,42150,37,4,190.72,email,1,0,0.0,0.1102
104,30,38058,28,6,41.68,email,1,0,0.0,0.1161
105,38,46172,5,6,137.55,push,1,0,0.0,0.1093
106,44,40986,14,5,16.65,email,1,0,0.0,0.0848
107,62,19575,18,7,52.51,email,0,0,0.0,0.0011
108,42,37333,16,5,40.59,email,0,0,0.0,0.0837
109,43,19068,5,6,85.6,sms,0,0,0.0,0.0495
110,39,38125,77,4,41.32,email,0,0,0.0,0.0928
111,18,27217,43,8,41.69,email,0,0,0.0,0.1285
112,39,166646,19,11,248.92,sms,1,0,0.0,0.315
113,40,35456,34,6,38.62,email,0,0,0.0,0.0856
114,69,15637,68,3,151.84,email,0,0,0.0,0.0
115,37,33506,4,4,137.05,email,1,0,0.0,0.09
116,43,49593,8,8,101.64,email,1,1,29.37,0.1023
117,39,99113,23,6,74.85,email,0,1,59.74,0.1982
118,25,25497,48,5,86.5,email,0,0,0.0,0.1073
119,53,14052,1,6,49.24,push,0,0,0.0,0.0149
120,49,59284,124,4,53.32,email,0,0,0.0,0.1034
121,49,15861,18,5,54.12,email,0,1,79.71,0.0284
122,29,27953,13,14,75.06,email,0,0,0.0,0.1012
123,56,31114,10,4,153.14,email,1,0,0.0,0.0366
124,23,34829,5,6,200.51,email,1,0,0.0,0.1287
125,47,54912,47,2,55.99,push,0,0,0.0,0.1011
126,66,24096,93,5,33.88,email,1,0,0.0,0.0
127,28,30815,16,5,139.92,sms,0,0,0.0,0.1087
128,33,36005,91,4,38.37,push,0,0,0.0,0.1047
129,41,39725,52,3,56.98,email,0,1,48.91,0.0904
130,33,38510,19,6,61.83,sms,1,0,0.0,0.1091
131,21,47174,33,5,61.85,sms,0,1,70.81,0.1552
132,40,60252,17,7,107.59,email,0,0,0.0,0.1285
133,27,45962,24,8,164.65,email,0,0,0.0,0.1375
134,45,47674,1,6,263.45,email,1,0,0.0,0.0937
