Rep_ID,HCP_ID,Rep_Experience_Years,Territory_Size,HCP_Specialty,HCP_Patient_Volume,HCP_Digital_Affinity,Suggestion_Type,Action_Type,Suggestion_Accepted,Incremental_Actions,Baseline_TRX,Post_TRX,Incremental_TRX,Baseline_NBRX,Post_NBRX,Incremental_NBRX
8,323,17.0,116,Cardiology,79,0.305,Insights,Insights,1,1,15.0,22.26,7.26,7.0,8.79,1.79
62,359,11.3,183,Cardiology,90,0.489,All,All,1,5,15.0,23.41,8.41,5.0,8.4,3.4
53,134,14.4,171,Neurology,80,0.588,All,Call,1,2,18.0,24.92,6.92,3.0,4.44,1.44
36,179,9.2,60,Cardiology,81,0.096,All,All,0,0,11.0,11.27,0.27,5.0,5.06,0.06
35,473,17.5,101,Oncology,95,0.199,All,Call,1,3,18.0,26.68,8.68,5.0,5.87,0.87
69,426,19.6,188,Cardiology,80,0.166,All,Call,1,2,20.0,27.54,7.54,6.0,6.65,0.65
7,207,16.5,42,Oncology,63,0.411,Email,Email,1,5,19.0,27.3,8.3,4.0,7.16,3.16
56,121,12.0,85,Primary Care,71,0.265,Call,Call,0,0,11.0,11.42,0.42,2.0,2.09,0.09
17,151,14.5,38,Primary Care,77,0.376,Insights,Insights,0,0,16.0,17.11,1.11,1.0,1.22,0.22
8,270,17.0,116,Primary Care,86,0.471,Insights,Insights,0,0,13.0,14.3,1.3,3.0,3.09,0.09
43,284,9.7,154,Primary Care,71,0.228,Email,Call,1,0,20.0,24.56,4.56,3.0,3.47,0.47
79,93,19.8,87,Primary Care,92,0.396,Insights,Insights,1,3,11.0,19.47,8.47,2.0,2.9,0.9
59,33,17.8,73,Oncology,98,0.68,Call,Call,0,0,14.0,14.34,0.34,1.0,1.02,0.02
61,248,5.4,66,Cardiology,80,0.411,Call,Call,0,0,15.0,15.8,0.8,4.0,4.18,0.18
58,399,14.5,120,Cardiology,77,0.525,All,Call,1,2,6.0,11.85,5.85,5.0,7.61,2.61
63,77,15.4,190,Neurology,75,0.827,Call,Call,0,0,17.0,18.05,1.05,3.0,3.08,0.08
42,205,17.0,101,Cardiology,72,0.143,Insights,Insights,0,0,17.0,17.65,0.65,2.0,2.39,0.39
11,81,14.7,189,Cardiology,93,0.439,Insights,Insights,0,0,17.0,17.37,0.37,6.0,6.15,0.15
68,122,3.4,153,Neurology,82,0.76,Insights,Insights,1,2,8.0,14.16,6.16,4.0,6.28,2.28
37,307,10.3,187,Neurology,69,0.321,Email,Email,1,1,13.0,14.06,1.06,1.0,2.56,1.56
41,144,8.8,52,Primary Care,71,0.029,Insights,Insights,0,0,22.0,22.68,0.68,6.0,6.08,0.08
30,132,12.2,100,Oncology,73,0.254,Call,Call,1,3,17.0,23.79,6.79,4.0,5.52,1.52
15,498,5.6,103,Oncology,69,0.581,Insights,Insights,1,0,17.0,22.3,5.3,2.0,3.0,1.0
75,87,10.3,91,Oncology,82,0.544,Email,Call,1,1,10.0,12.68,2.68,5.0,5.82,0.82
63,95,15.4,190,Cardiology,84,0.193,All,Insights,0,0,15.0,15.31,0.31,3.0,3.01,0.01
52,465,18.3,191,Neurology,83,0.399,All,Call,1,3,12.0,18.48,6.48,4.0,6.42,2.42
33,276,7.1,115,Neurology,76,0.252,Call,Call,0,0,17.0,17.18,0.18,1.0,1.66,0.66
66,22,3.4,187,Primary Care,76,0.2,Call,Call,1,1,15.0,20.03,5.03,4.0,6.4,2.4
44,213,18.7,26,Cardiology,83,0.393,Call,Call,0,0,11.0,11.47,0.47,1.0,1.51,0.51
36,283,9.2,60,Oncology,79,0.265,All,Email,0,0,12.0,12.07,0.07,4.0,4.44,0.44
37,127,10.3,187,Cardiology,63,0.593,Insights,Insights,1,1,9.0,14.88,5.88,2.0,3.3,1.3
19,275,12.9,81,Cardiology,94,0.648,All,Call,1,2,11.0,18.25,7.25,6.0,7.38,1.38
8,325,17.0,116,Neurology,75,0.759,All,All,1,4,16.0,27.44,11.44,2.0,3.2,1.2
45,126,5.0,150,Oncology,82,0.333,Call,Call,0,0,21.0,21.76,0.76,5.0,5.99,0.99
72,407,5.3,163,Primary Care,87,0.244,Insights,Insights,0,0,11.0,13.51,2.51,5.0,5.06,0.06
6,227,11.4,159,Cardiology,83,0.278,Call,Call,0,0,16.0,16.27,0.27,4.0,4.95,0.95
69,482,19.6,188,Oncology,82,0.164,Insights,Insights,1,0,10.0,14.27,4.27,7.0,7.85,0.85
67,44,8.8,42,Oncology,88,0.174,Call,Call,1,2,14.0,22.21,8.21,2.0,3.53,1.53
23,163,8.9,67,Neurology,77,0.341,All,All,1,8,19.0,31.34,12.34,4.0,7.33,3.33
51,361,15.3,66,Primary Care,77,0.116,Email,Email,1,7,11.0,21.33,10.33,3.0,5.87,2.87
14,448,1.0,123,Neurology,81,0.512,Email,Email,0,0,15.0,15.05,0.05,6.0,6.12,0.12
61,111,5.4,66,Cardiology,80,0.346,Call,Insights,0,0,13.0,13.53,0.53,1.0,1.56,0.56
57,491,6.8,128,Oncology,61,0.387,All,Call,0,0,18.0,18.84,0.84,2.0,2.23,0.23
29,97,12.2,174,Primary Care,81,0.428,Insights,Insights,1,3,18.0,26.7,8.7,1.0,2.83,1.83
6,209,11.4,159,Primary Care,77,0.116,Call,Call,1,4,14.0,23.02,9.02,4.0,6.68,2.68
78,158,19.6,86,Cardiology,88,0.423,Call,Call,1,1,20.0,25.7,5.7,2.0,2.95,0.95
36,213,9.2,60,Cardiology,83,0.393,Call,Call,0,0,9.0,9.85,0.85,0.0,0.4,0.4
72,452,5.3,163,Cardiology,71,0.233,All,Email,0,0,24.0,24.25,0.25,5.0,5.26,0.26
55,367,12.2,128,Primary Care,96,0.438,All,Call,0,0,12.0,12.03,0.03,8.0,8.22,0.22
63,399,15.4,190,Cardiology,77,0.525,All,All,1,2,20.0,24.58,4.58,2.0,3.62,1.62
61,127,5.4,66,Cardiology,63,0.593,All,All,1,8,18.0,28.07,10.07,5.0,8.63,3.63
16,474,15.5,62,Primary Care,65,0.287,Email,Email,0,0,10.0,10.07,0.07,1.0,1.45,0.45
30,218,12.2,100,Cardiology,77,0.354,Call,Call,0,0,12.0,13.26,1.26,6.0,6.0,0.0
38,326,2.6,161,Cardiology,85,0.18,Insights,Call,1,1,19.0,21.22,2.22,2.0,2.08,0.08
40,349,4.2,152,Primary Care,63,0.195,Insights,Insights,1,2,15.0,20.42,5.42,4.0,5.02,1.02
4,332,15.7,136,Primary Care,88,0.31,Email,Email,1,3,18.0,25.15,7.15,3.0,4.8,1.8
44,301,18.7,26,Oncology,79,0.068,All,Email,0,0,10.0,10.16,0.16,2.0,2.05,0.05
13,241,7.9,51,Cardiology,79,0.319,Email,Email,1,2,10.0,14.96,4.96,7.0,7.82,0.82
60,324,13.3,137,Neurology,72,0.393,Call,Call,1,1,16.0,20.58,4.58,3.0,3.8,0.8
55,453,12.2,128,Cardiology,81,0.285,Call,Call,1,4,12.0,18.51,6.51,4.0,6.77,2.77
74,195,19.7,62,Primary Care,84,0.33,All,All,1,3,16.0,23.27,7.27,2.0,4.11,2.11
60,256,13.3,137,Cardiology,82,0.414,All,Email,1,2,21.0,27.17,6.17,6.0,8.05,2.05
30,91,12.2,100,Neurology,80,0.394,Insights,Insights,1,2,13.0,19.25,6.25,4.0,5.06,1.06
78,178,19.6,86,Oncology,75,0.326,All,All,1,6,17.0,27.79,10.79,4.0,7.61,3.61
33,387,7.1,115,Neurology,69,0.094,All,All,1,2,23.0,31.48,8.48,7.0,8.68,1.68
27,321,14.9,28,Oncology,80,0.224,Call,Call,1,4,15.0,20.7,5.7,7.0,9.43,2.43
73,106,9.5,80,Cardiology,97,0.804,All,All,1,6,13.0,23.65,10.65,2.0,4.98,2.98
30,274,12.2,100,Primary Care,79,0.327,Email,Email,1,2,17.0,21.74,4.74,3.0,3.04,0.04
7,406,16.5,42,Primary Care,83,0.594,Insights,Insights,1,0,12.0,16.63,4.63,4.0,5.71,1.71
38,63,2.6,161,Neurology,69,0.409,Email,Email,1,5,9.0,18.71,9.71,2.0,4.6,2.6
64,31,18.8,49,Cardiology,78,0.376,Call,Call,1,0,15.0,17.23,2.23,5.0,5.25,0.25
16,197,15.5,62,Primary Care,70,0.318,Insights,Insights,1,1,11.0,16.31,5.31,2.0,4.4,2.4
38,329,2.6,161,Cardiology,70,0.471,Email,Email,0,0,11.0,11.15,0.15,3.0,3.07,0.07
11,157,14.7,189,Oncology,85,0.547,Call,All,1,5,15.0,21.46,6.46,4.0,5.35,1.35
55,411,12.2,128,Cardiology,82,0.642,Insights,Call,1,2,16.0,19.32,3.32,5.0,5.36,0.36
39,424,16.9,55,Neurology,81,0.381,Insights,Insights,1,2,13.0,20.19,7.19,4.0,5.16,1.16
27,267,14.9,28,Primary Care,84,0.157,Email,Call,0,0,16.0,16.23,0.23,2.0,2.47,0.47
19,190,12.9,81,Primary Care,84,0.621,Email,Email,1,1,19.0,25.59,6.59,3.0,3.95,0.95
46,21,14.6,60,Cardiology,74,0.415,Call,Call,1,1,14.0,19.48,5.48,1.0,2.1,1.1
54,411,18.8,54,Cardiology,82,0.642,All,Insights,1,3,17.0,23.96,6.96,0.0,2.2,2.2
76,448,1.2,80,Neurology,81,0.512,All,All,1,5,21.0,28.38,7.38,3.0,4.43,1.43
35,222,17.5,101,Primary Care,88,0.782,Call,Call,1,2,15.0,21.44,6.44,2.0,3.09,1.09
13,259,7.9,51,Cardiology,78,0.458,All,Email,1,5,14.0,21.5,7.5,10.0,11.75,1.75
67,377,8.8,42,Primary Care,70,0.168,Insights,Insights,0,0,19.0,19.13,0.13,5.0,5.0,0.0
51,348,15.3,66,Oncology,88,0.382,All,All,1,4,9.0,17.03,8.03,1.0,3.65,2.65
57,68,6.8,128,Primary Care,67,0.536,Email,Email,1,2,8.0,13.58,5.58,4.0,4.31,0.31
8,337,17.0,116,Primary Care,80,0.413,Insights,Insights,0,0,15.0,15.12,0.12,1.0,2.3,1.3
